signal_date,entry_price_date,code,name,sector33,entry_close,sector_research_priority,sector_leader_score,sector_leader_grade,sector_rotation,sector_momentum_score,momentum_rank,momentum_score,action_priority,action_score,expectancy_score,expectancy_confidence,relative_strength_score,relative_strength_grade,market_relative_20d,sector_relative_20d
2026-07-13,2026-07-13,8008,ヨンドシーホールディングス,小売業,2109.0,優先,76.1,B,履歴開始,44.0,2,90.0,C,58.0,46.5,中,88.0,S,0.0935064171667476,0.1009702422013519
2026-07-13,2026-07-13,7453,良品計画,小売業,4233.0,優先,75.4,B,履歴開始,44.0,13,75.0,B,72.0,35.2,高,90.2,S,0.14111056091593,0.1485743859505343
2026-07-13,2026-07-13,6194,アトラエ,サービス業,816.0,優先,73.1,B,履歴開始,46.0,8,78.0,,0.0,50.0,蓄積中,94.1,S,0.1387248811269108,0.1275872668090574
2026-07-13,2026-07-13,3276,ＪＰＭＣ,不動産業,1594.0,監視,71.4,B,履歴開始,40.0,1,91.0,,0.0,50.0,蓄積中,95.1,S,0.1942603660118766,0.1896242932753338
2026-07-13,2026-07-13,5018,ＭＯＲＥＳＣＯ,石油・石炭製品,2128.0,監視,71.2,B,履歴開始,39.0,9,78.0,,0.0,50.0,蓄積中,92.3,S,0.0958537155934038,0.1165736745542754
2026-07-13,2026-07-13,3436,ＳＵＭＣＯ,金属製品,5133.0,監視,68.8,B,履歴開始,34.0,22,70.0,B,65.0,35.2,高,98.1,S,0.1670080206935826,0.1742839532572737
2026-07-13,2026-07-13,7803,ブシロード,その他製品,377.0,監視,68.2,B,履歴開始,51.0,4,88.0,,0.0,50.0,蓄積中,98.6,S,0.3406155549055707,0.335638998682477
2026-07-13,2026-07-13,6136,オーエスジー,機械,4058.0,監視,67.7,C,履歴開始,30.0,23,70.0,B,65.0,35.2,高,96.1,S,0.1374242422524416,0.1450554112582636
2026-07-13,2026-07-13,4424,Ａｍａｚｉａ,情報・通信業,392.0,監視,66.9,C,履歴開始,46.0,3,88.0,,0.0,50.0,蓄積中,99.0,S,0.8237301296936483,0.7974276050623204
2026-07-13,2026-07-13,9997,ベルーナ,小売業,1058.0,監視,65.6,C,履歴開始,44.0,17,73.0,,0.0,50.0,蓄積中,91.1,S,0.0883577364463792,0.0958215614809835
2026-07-13,2026-07-13,7504,高速,卸売業,3910.0,監視,64.9,C,履歴開始,39.0,6,80.0,C,50.0,46.5,中,97.1,S,0.2629766560683335,0.2652038631336547
2026-07-13,2026-07-13,8601,大和証券グループ本社,証券、商品先物取引業,1777.0,監視,63.9,C,履歴開始,67.0,55,60.0,,0.0,50.0,蓄積中,86.9,S,0.0887801089921638,0.0669000662384322
2026-07-13,2026-07-13,8551,北日本銀行,銀行業,6110.0,監視,63.6,C,履歴開始,67.0,14,75.0,見送り,59.0,41.2,高,89.9,S,0.0937211449676824,0.0752213995354238
2026-07-13,2026-07-13,8377,ほくほくフィナンシャルグループ,銀行業,7582.0,監視,63.0,C,履歴開始,67.0,43,63.0,,0.0,50.0,蓄積中,91.1,S,0.1363098059874756,0.117810060555217
2026-07-13,2026-07-13,8524,北洋銀行,銀行業,1180.0,監視,63.0,C,履歴開始,67.0,47,63.0,,0.0,50.0,蓄積中,83.9,A,0.1006277243933457,0.0821279789610871
2026-07-13,2026-07-13,8628,松井証券,証券、商品先物取引業,1050.0,監視,63.0,C,履歴開始,67.0,49,63.0,,0.0,50.0,蓄積中,81.9,A,0.082268462628924,0.0603884198751925
2026-07-13,2026-07-13,8095,アステナホールディングス,卸売業,529.0,監視,62.3,C,履歴開始,39.0,18,73.0,C,51.0,33.8,中,79.9,A,0.0520666012764787,0.0542938083417999
2026-07-13,2026-07-13,2175,エス・エム・エス,サービス業,2441.0,監視,62.0,C,履歴開始,46.0,21,70.0,C,53.0,36.3,高,97.3,S,0.1903109761192665,0.179173361801413
2026-07-13,2026-07-13,4419,Ｆｉｎａｔｅｘｔホールディングス,情報・通信業,1601.0,監視,60.3,C,履歴開始,46.0,27,68.0,,0.0,50.0,蓄積中,98.5,S,0.2616510178814781,0.2353484932501501
2026-07-13,2026-07-13,8604,野村ホールディングス,証券、商品先物取引業,1542.5,監視,60.1,C,履歴開始,67.0,63,58.0,,0.0,50.0,蓄積中,84.5,A,0.0655504707574041,0.0436704280036726
2026-07-13,2026-07-13,6266,タツモ,機械,5090.0,監視,59.8,C,履歴開始,30.0,16,73.0,,0.0,50.0,蓄積中,98.5,S,0.19383520256677,0.2014663715725919
2026-07-13,2026-07-13,2222,寿スピリッツ,食料品,2654.0,監視,59.5,C,履歴開始,54.0,46,63.0,,0.0,50.0,蓄積中,93.7,S,0.1110468935073039,0.0985000103590445
2026-07-13,2026-07-13,6638,ミマキエンジニアリング,電気機器,2061.0,監視,58.8,C,履歴開始,13.0,11,77.0,,0.0,50.0,蓄積中,94.3,S,0.1127188047715266,0.1415387286331226
2026-07-13,2026-07-13,7867,タカラトミー,その他製品,3367.0,監視,58.7,C,履歴開始,51.0,45,63.0,,0.0,50.0,蓄積中,93.1,S,0.1171913406469042,0.1122147844238106
2026-07-13,2026-07-13,9304,澁澤倉庫,倉庫・運輸関連業,1977.0,監視,58.0,C,履歴開始,50.0,12,75.0,C,54.0,36.3,高,98.6,S,0.3059866572331946,0.2839758532066223
2026-07-13,2026-07-13,6058,ベクトル,サービス業,1948.0,見送り,55.7,C,履歴開始,46.0,10,77.0,見送り,47.0,46.5,中,98.7,S,0.2803035527297148,0.2691659384118614
2026-07-13,2026-07-13,4381,ビープラッツ,情報・通信業,551.0,見送り,54.7,C,履歴開始,46.0,5,85.0,見送り,56.0,41.2,高,98.6,S,1.1270172759200634,1.1007147512887354
2026-07-13,2026-07-13,7283,愛三工業,輸送用機器,2432.0,見送り,53.1,C,履歴開始,35.0,20,70.0,,0.0,50.0,蓄積中,97.0,S,0.2759041305214544,0.2880968696934626
2026-07-13,2026-07-13,3480,ジェイ・エス・ビー,不動産業,8990.0,見送り,52.3,C,履歴開始,40.0,31,67.0,,0.0,50.0,蓄積中,95.5,S,0.1083431349995085,0.1037070622629656
2026-07-13,2026-07-13,3237,イントランス,不動産業,105.0,見送り,51.5,C,履歴開始,40.0,37,65.0,,0.0,50.0,蓄積中,99.0,S,0.2709698222163597,0.2663337494798168
2026-07-13,2026-07-13,7600,日本エム・ディ・エム,精密機器,944.0,見送り,51.0,C,履歴開始,30.0,44,63.0,,0.0,50.0,蓄積中,96.4,S,0.1301202823460119,0.1319647149018887
2026-07-13,2026-07-13,8591,オリックス,その他金融業,6391.0,見送り,50.3,C,履歴開始,53.0,96,50.0,,0.0,50.0,蓄積中,72.6,A,0.0104920024192529,0.0026426003275485
2026-07-13,2026-07-13,6951,日本電子,電気機器,7815.0,見送り,48.5,C,履歴開始,13.0,42,63.0,,0.0,50.0,蓄積中,95.2,S,0.157688966428692,0.186508890290288
2026-07-13,2026-07-13,3946,トーモク,パルプ・紙,4080.0,見送り,47.7,C,履歴開始,47.0,64,58.0,,0.0,50.0,蓄積中,84.9,A,0.0455396676523469,0.0517069797632078
2026-07-13,2026-07-13,7818,トランザクション,その他製品,1414.0,見送り,47.7,C,履歴開始,51.0,80,55.0,,0.0,50.0,蓄積中,83.1,A,0.0362350874816248,0.0312585312585311
2026-07-13,2026-07-13,8566,リコーリース,その他金融業,6380.0,見送り,43.0,C,履歴開始,53.0,69,57.0,,0.0,50.0,蓄積中,52.9,C,-0.0028905766440392,-0.0107399787357436
2026-07-13,2026-07-13,9902,日伝,卸売業,2707.0,見送り,42.6,C,履歴開始,39.0,66,58.0,,0.0,50.0,蓄積中,79.3,A,0.0387458529640885,0.0409730600294097
2026-07-13,2026-07-13,4935,リベルタ,化学,410.0,見送り,41.1,C,履歴開始,30.0,91,50.0,,0.0,50.0,蓄積中,98.3,S,0.8995561550280446,0.920202441900493
2026-07-13,2026-07-13,7219,エッチ・ケー・エス,輸送用機器,2486.0,見送り,41.1,C,履歴開始,35.0,39,65.0,,0.0,50.0,蓄積中,82.3,A,0.0560132388387237,0.0682059780107319
2026-07-13,2026-07-13,5644,メタルアート,鉄鋼,7720.0,見送り,39.1,C,履歴開始,27.0,59,60.0,見送り,47.0,36.3,高,73.0,A,-0.0108718091653505,0.0194806158437381
2026-07-13,2026-07-13,6750,エレコム,電気機器,1815.0,見送り,35.5,C,履歴開始,13.0,97,50.0,,0.0,50.0,蓄積中,71.8,A,0.0065097965283635,0.0353297203899596
2026-07-13,2026-07-13,3877,中越パルプ工業,パルプ・紙,2083.0,見送り,27.8,C,履歴開始,47.0,87,53.0,,0.0,50.0,蓄積中,71.2,A,0.0161735259200634,0.0223408380309243
2026-07-13,2026-07-13,6157,日進工具,機械,983.0,見送り,27.0,C,履歴開始,30.0,72,55.0,,0.0,50.0,蓄積中,91.4,S,0.1071620051827362,0.1147931741885581
2026-07-14,2026-07-14,8008,ヨンドシーホールディングス,小売業,2177.0,優先,77.0,B,改善,47.0,4,85.0,C,63.0,49.6,高,91.2,S,0.1298377162632565,0.1363202338655866
2026-07-14,2026-07-14,7085,カーブスホールディングス,サービス業,986.0,優先,75.0,B,改善,50.0,17,75.0,C,62.0,40.3,高,87.1,S,0.0861211387231496,0.0763368983957217
2026-07-14,2026-07-14,8200,リンガーハット,小売業,2388.0,優先,74.2,B,改善,47.0,16,75.0,C,62.0,40.3,高,84.3,A,0.1011872780046955,0.1076697956070256
2026-07-14,2026-07-14,4175,ｃｏｌｙ,情報・通信業,2842.0,優先,72.9,B,改善,50.0,2,88.0,C,55.0,43.0,高,98.6,S,0.4366810860222275,0.4116431105892287
2026-07-14,2026-07-14,9861,吉野家ホールディングス,小売業,3645.0,優先,72.4,B,改善,47.0,20,73.0,,0.0,50.0,蓄積中,84.5,A,0.1339358240378351,0.1404183416401652
2026-07-14,2026-07-14,9304,澁澤倉庫,倉庫・運輸関連業,2004.0,監視,71.0,B,減速,50.0,5,83.0,,0.0,50.0,蓄積中,98.6,S,0.3363916274683306,0.330092980023654
2026-07-14,2026-07-14,7504,高速,卸売業,3955.0,監視,70.5,B,改善,45.0,10,80.0,C,55.0,49.6,高,97.2,S,0.264517167981248,0.2650220650433934
2026-07-14,2026-07-14,4419,Ｆｉｎａｔｅｘｔホールディングス,情報・通信業,1713.0,監視,69.7,B,改善,50.0,6,82.0,C,57.0,46.3,高,98.8,S,0.3628933469390772,0.3378553715060785
2026-07-14,2026-07-14,8508,Ｊトラスト,その他金融業,860.0,監視,69.4,B,加速,62.0,46,65.0,C,51.0,40.3,高,92.3,S,0.0913210435303842,0.0831778313536504
2026-07-14,2026-07-14,2175,エス・エム・エス,サービス業,2519.0,監視,69.2,B,改善,50.0,19,73.0,,0.0,50.0,蓄積中,97.9,S,0.2270586814008025,0.2172744410733746
2026-07-14,2026-07-14,4413,ボードルア,情報・通信業,3220.0,監視,68.1,B,改善,50.0,27,70.0,,0.0,50.0,蓄積中,98.2,S,0.3062161353168974,0.2811781598838986
2026-07-14,2026-07-14,6191,エアトリ,サービス業,891.0,監視,67.2,C,改善,50.0,22,73.0,C,51.0,43.0,高,88.7,S,0.0724988914052501,0.0627146510778222
2026-07-14,2026-07-14,8439,東京センチュリー,その他金融業,2629.0,監視,63.6,C,加速,62.0,83,55.0,,0.0,50.0,蓄積中,82.9,A,0.0433464456973805,0.0352032335206466
2026-07-14,2026-07-14,8771,イー・ギャランティ,その他金融業,1869.0,監視,60.5,C,加速,62.0,64,60.0,,0.0,50.0,蓄積中,81.1,A,0.0761835273149501,0.0680403151382162
2026-07-14,2026-07-14,7600,日本エム・ディ・エム,精密機器,988.0,監視,59.2,C,底上げ,40.0,23,72.0,,0.0,50.0,蓄積中,98.2,S,0.1929957858151881,0.187944346335031
2026-07-14,2026-07-14,7867,タカラトミー,その他製品,3415.0,監視,59.1,C,減速,51.0,25,72.0,C,55.0,43.0,高,94.1,S,0.1436590044448719,0.1329190359142131
2026-07-14,2026-07-14,1377,サカタのタネ,水産・農林業,4440.0,監視,58.9,C,底上げ,38.0,31,70.0,C,55.0,40.3,高,74.4,A,0.0368366777076875,0.0449231534196771
2026-07-14,2026-07-14,2590,ダイドーグループホールディングス,食料品,2950.0,監視,58.2,C,低迷,54.0,29,70.0,C,53.0,40.3,高,86.6,S,0.121169922684977,0.1126577234185172
2026-07-14,2026-07-14,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,3600.0,監視,58.2,C,減速,57.0,35,68.0,C,62.0,40.6,高,85.7,S,0.0809082289563366,0.0484149049954554
2026-07-14,2026-07-14,8628,松井証券,証券、商品先物取引業,1073.0,監視,58.2,C,減速,62.0,37,67.0,,0.0,50.0,蓄積中,84.7,A,0.1047324106783708,0.08282757289566
2026-07-14,2026-07-14,3946,トーモク,パルプ・紙,4185.0,見送り,57.6,C,改善,52.0,53,62.0,,0.0,50.0,蓄積中,88.7,S,0.0655351872239261,0.0808379761832921
2026-07-14,2026-07-14,6474,不二越,機械,6590.0,見送り,57.6,C,低迷,30.0,18,75.0,C,61.0,40.3,高,92.6,S,0.0826157458109771,0.1013847145578767
2026-07-14,2026-07-14,8309,三井住友トラストグループ,銀行業,6654.0,見送り,57.3,C,減速,57.0,51,63.0,,0.0,50.0,蓄積中,84.7,A,0.0785617262339831,0.0460684022731019
2026-07-14,2026-07-14,5186,ニッタ,ゴム製品,6570.0,見送り,56.0,C,改善,56.0,86,55.0,,0.0,50.0,蓄積中,85.4,S,0.0339592761954335,0.0479669264393808
2026-07-14,2026-07-14,3276,ＪＰＭＣ,不動産業,1656.0,見送り,54.3,C,改善,50.0,8,81.0,見送り,44.0,49.6,高,96.2,S,0.238533618633708,0.2300031534856879
2026-07-14,2026-07-14,7327,第四北越フィナンシャルグループ,銀行業,2307.0,見送り,53.9,C,減速,57.0,39,67.0,,0.0,50.0,蓄積中,76.9,A,0.0658096547850562,0.033316330824175
2026-07-14,2026-07-14,3708,特種東海製紙,パルプ・紙,2030.0,見送り,53.8,C,改善,52.0,63,60.0,,0.0,50.0,蓄積中,92.1,S,0.0890755584041881,0.1043783473635541
2026-07-14,2026-07-14,7803,ブシロード,その他製品,401.0,見送り,53.7,C,減速,51.0,1,92.0,見送り,53.0,49.6,高,99.1,S,0.4399312991509573,0.4291913306202986
2026-07-14,2026-07-14,4220,リケンテクノス,化学,1857.0,見送り,51.9,C,底上げ,34.0,48,65.0,C,50.0,40.3,高,74.8,A,0.0612418145075422,0.0797022053659222
2026-07-14,2026-07-14,3480,ジェイ・エス・ビー,不動産業,8990.0,見送り,49.2,C,改善,50.0,77,57.0,,0.0,50.0,蓄積中,58.0,B,-0.0332198209852933,-0.0417502861333134
2026-07-14,2026-07-14,8613,丸三証券,証券、商品先物取引業,1126.0,見送り,45.3,C,減速,62.0,54,62.0,,0.0,50.0,蓄積中,64.6,B,0.0239372699603336,0.0020324321776228
2026-07-14,2026-07-14,7818,トランザクション,その他製品,1422.0,見送り,43.8,C,減速,51.0,74,58.0,,0.0,50.0,蓄積中,81.0,A,0.0348395255994312,0.0240995570687725
2026-07-14,2026-07-14,9010,富士急行,陸運業,2650.0,見送り,43.4,C,改善,54.0,68,60.0,見送り,42.0,40.3,高,76.5,A,0.0385410871957297,0.031839260182267
2026-07-14,2026-07-14,8739,スパークス・グループ,証券、商品先物取引業,2301.0,見送り,42.6,C,減速,62.0,87,55.0,,0.0,50.0,蓄積中,72.0,A,0.0235976277513628,0.001692789968652
2026-07-14,2026-07-14,7458,第一興商,卸売業,1800.0,見送り,41.0,C,改善,45.0,67,60.0,見送り,42.0,40.3,高,76.2,A,0.0549252922096027,0.0554301892717481
2026-07-14,2026-07-14,2004,昭和産業,食料品,3485.0,見送り,37.5,C,低迷,54.0,88,55.0,,0.0,50.0,蓄積中,67.0,B,0.0169486445506555,0.0084364452841957
2026-07-14,2026-07-14,3877,中越パルプ工業,パルプ・紙,2102.0,見送り,34.7,C,改善,52.0,75,57.0,,0.0,50.0,蓄積中,74.2,A,0.02194800030378,0.037250789263146
2026-07-14,2026-07-14,6836,ぷらっとホーム,電気機器,924.0,見送り,30.7,C,底上げ,21.0,93,50.0,,0.0,50.0,蓄積中,75.1,A,0.3447710708805446,0.3762902215885395
2026-07-15,2026-07-15,7350,おきなわフィナンシャルグループ,銀行業,7300.0,優先,82.3,A,加速,84.0,24,70.0,C,53.0,44.0,高,83.8,A,0.110330800818307,0.0320055050080281
2026-07-15,2026-07-15,8624,いちよし証券,証券、商品先物取引業,1630.0,優先,80.7,A,加速,78.0,22,70.0,C,53.0,44.0,高,81.5,A,0.1602693679982534,0.0991187946772633
2026-07-15,2026-07-15,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,3697.0,優先,79.1,A,加速,84.0,35,67.0,,0.0,50.0,蓄積中,82.6,A,0.0960201494091814,0.0176948535989025
